Train: 5968, Depart time: 05:00, Arrival time: 00:20, Total Time: 0 days 19 hours 20 mins

Train: 851, Depart time: 22:50, Arrival time: 22:40, Total Time: 0 days 23 hours 50 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 18:08, Intemediate Station: MLB, Intermediate wait time: 1:39, Intermediate Departure time: 19:47, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days 13 hours 4 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 18:40, Intemediate Station: PVR, Intermediate wait time: 0:35, Intermediate Departure time: 19:15, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 0 days 12 hours 0 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 19:11, Intemediate Station: SGLA, Intermediate wait time: 23:34, Intermediate Departure time: 18:45, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 10 hours 59 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 19:49, Intemediate Station: DLGN, Intermediate wait time: 22:22, Intermediate Departure time: 18:11, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 9 hours 47 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 20:05, Intemediate Station: KVK, Intermediate wait time: 21:51, Intermediate Departure time: 17:56, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 9 hours 16 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 22:20, Intemediate Station: MRJ, Intermediate wait time: 18:45, Intermediate Departure time: 17:05, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 6 hours 10 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 23:17, Intemediate Station: HTK, Intermediate wait time: 16:50, Intermediate Departure time: 16:07, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 4 hours 15 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 23:25, Intemediate Station: RKD, Intermediate wait time: 16:31, Intermediate Departure time: 15:56, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 1 days 3 hours 56 mins
Train: 1420, Depart time: 17:45, Intermediate Arrival time: 00:35, Intemediate Station: KOP, Intermediate wait time: 15:10, Intermediate Departure time: 15:45, Second Train: 1419, Destination Arrival time: 05:10, Total Time: 2 days 2 hours 35 mins

Train: 1402, Depart time: 16:36, Intermediate Arrival time: 00:20, Intemediate Station: PAU, Intermediate wait time: 9:0, Intermediate Departure time: 09:20, Second Train: 1420, Destination Arrival time: 22:20, Total Time: 1 days 14 hours 44 mins
Train: 1402, Depart time: 16:36, Intermediate Arrival time: 01:25, Intemediate Station: PBN, Intermediate wait time: 8:35, Intermediate Departure time: 10:00, Second Train: 1420, Destination Arrival time: 22:20, Total Time: 1 days 14 hours 19 mins
Train: 1402, Depart time: 16:36, Intermediate Arrival time: 03:10, Intemediate Station: PRLI, Intermediate wait time: 8:20, Intermediate Departure time: 11:30, Second Train: 1420, Destination Arrival time: 22:20, Total Time: 1 days 14 hours 4 mins
Train: 1402, Depart time: 16:36, Intermediate Arrival time: 05:10, Intemediate Station: LTRR, Intermediate wait time: 8:50, Intermediate Departure time: 14:00, Second Train: 1420, Destination Arrival time: 22:20, Total Time: 1 days 14 hours 34 mins
Train: 1402, Depart time: 16:36, Intermediate Arrival time: 06:20, Intemediate Station: LUR, Intermediate wait time: 8:17, Intermediate Departure time: 14:37, Second Train: 1420, Destination Arrival time: 22:20, Total Time: 1 days 14 hours 1 mins
