'01712',JBP LTT SUP SPL,8,KNW ,KHANDWA        ,'05:15:00','05:20:00'
'01712',JBP LTT SUP SPL,9,BSL ,BHUSAVAL JN    ,'06:50:00','07:00:00'
'01712',JBP LTT SUP SPL,10,JL  ,JALGAON JN     ,'07:25:00','07:28:00'
'01712',JBP LTT SUP SPL,11,MMR ,MANMAD JN      ,'09:10:00','09:13:00'
'01712',JBP LTT SUP SPL,12,NK  ,NASIK ROAD     ,'10:10:00','10:13:00'
'01712',JBP LTT SUP SPL,13,IGP ,IGATPURI       ,'11:30:00','11:40:00'
'01712',JBP LTT SUP SPL,14,KYN ,KALYAN JN      ,'13:55:00','13:58:00'
'01712',JBP LTT SUP SPL,15,TNA ,THANE          ,'14:15:00','14:18:00'
'01712',JBP LTT SUP SPL,16,LTT ,LOKMANYATILAK T,'14:50:00','00:00:00'
'01713',LTT HBJ SUP SPL,1,LTT ,LOKMANYATILAK T,'00:00:00','16:40:00'
'01713',LTT HBJ SUP SPL,2,TNA ,THANE          ,'16:58:00','17:00:00'
'01713',LTT HBJ SUP SPL,3,KYN ,KALYAN JN      ,'17:17:00','17:20:00'
'01713',LTT HBJ SUP SPL,4,IGP ,IGATPURI       ,'20:00:00','20:05:00'
'01713',LTT HBJ SUP SPL,5,NK  ,NASIK ROAD     ,'20:40:00','20:45:00'
'01713',LTT HBJ SUP SPL,6,BSL ,BHUSAVAL JN    ,'23:55:00','00:05:00'
'01713',LTT HBJ SUP SPL,7,KNW ,KHANDWA        ,'02:30:00','02:35:00'
'01713',LTT HBJ SUP SPL,8,HD  ,HARDA          ,'03:45:00','03:47:00'
'01713',LTT HBJ SUP SPL,9,ET  ,ITARSI JN      ,'05:25:00','05:30:00'
'01713',LTT HBJ SUP SPL,10,HBD ,HOSHANGABAD    ,'05:46:00','05:48:00'
'01713',LTT HBJ SUP SPL,11,HBJ ,HABIBGANJ      ,'07:20:00','00:00:00'
'01714',HBJ CSTM SUP SP,1,HBJ ,HABIBGANJ      ,'00:00:00','15:20:00'
'01714',HBJ CSTM SUP SP,2,HBD ,HOSHANGABAD    ,'16:30:00','16:32:00'
'01714',HBJ CSTM SUP SP,3,ET  ,ITARSI JN      ,'17:10:00','17:20:00'
'01714',HBJ CSTM SUP SP,4,HD  ,HARDA          ,'18:30:00','18:32:00'
'01714',HBJ CSTM SUP SP,5,KNW ,KHANDWA        ,'20:03:00','20:05:00'
'01714',HBJ CSTM SUP SP,6,BSL ,BHUSAVAL JN    ,'21:40:00','21:50:00'
'01714',HBJ CSTM SUP SP,7,JL  ,JALGAON JN     ,'22:08:00','22:10:00'
'01714',HBJ CSTM SUP SP,8,NK  ,NASIK ROAD     ,'00:55:00','01:00:00'
'01714',HBJ CSTM SUP SP,9,IGP ,IGATPURI       ,'02:20:00','02:35:00'
'01714',HBJ CSTM SUP SP,10,KYN ,KALYAN JN      ,'04:55:00','04:58:00'
'01714',HBJ CSTM SUP SP,11,TNA ,THANE          ,'05:20:00','05:23:00'
'01714',HBJ CSTM SUP SP,12,DR  ,DADAR          ,'05:45:00','05:48:00'
'01714',HBJ CSTM SUP SP,13,CSTM,MUMBAI CST     ,'06:15:00','00:00:00'
'02111',LTT LKO AC SPL ,1,LTT ,LOKMANYATILAK T,'00:00:00','14:20:00'
'02111',LTT LKO AC SPL ,2,TNA ,THANE          ,'14:43:00','14:45:00'
'02111',LTT LKO AC SPL ,3,KYN ,KALYAN JN      ,'15:05:00','15:07:00'
'02111',LTT LKO AC SPL ,4,NK  ,NASIK ROAD     ,'17:27:00','17:30:00'
'02111',LTT LKO AC SPL ,5,JL  ,JALGAON JN     ,'19:53:00','19:55:00'
'02111',LTT LKO AC SPL ,6,BSL ,BHUSAVAL JN    ,'20:20:00','20:30:00'
'02111',LTT LKO AC SPL ,7,KNW ,KHANDWA        ,'22:58:00','23:00:00'
'02111',LTT LKO AC SPL ,8,HBJ ,HABIBGANJ      ,'03:18:00','03:20:00'
'02111',LTT LKO AC SPL ,9,BINA,BINA JN        ,'05:33:00','05:35:00'
'02111',LTT LKO AC SPL ,10,JHS ,JHANSI JN      ,'07:25:00','07:35:00'
'02111',LTT LKO AC SPL ,11,ORAI,ORAI           ,'08:53:00','08:55:00'
'02111',LTT LKO AC SPL ,12,CNB ,KANPUR CENTRAL ,'11:45:00','12:05:00'
'02111',LTT LKO AC SPL ,13,LKO ,LUCKNOW NR     ,'13:35:00','00:00:00'
'02112',LKO  LTT AC SPL,1,LKO ,LUCKNOW NR     ,'00:00:00','16:20:00'
'02112',LKO  LTT AC SPL,2,CNB ,KANPUR CENTRAL ,'17:55:00','18:05:00'
'02112',LKO  LTT AC SPL,3,ORAI,ORAI           ,'19:33:00','19:35:00'
'02112',LKO  LTT AC SPL,4,JHS ,JHANSI JN      ,'21:45:00','21:55:00'
'02112',LKO  LTT AC SPL,5,HBJ ,HABIBGANJ      ,'03:58:00','04:00:00'
'02112',LKO  LTT AC SPL,6,BSL ,BHUSAVAL JN    ,'10:20:00','10:30:00'
'02112',LKO  LTT AC SPL,7,JL  ,JALGAON JN     ,'10:53:00','10:55:00'
'02112',LKO  LTT AC SPL,8,NK  ,NASIK ROAD     ,'13:27:00','13:30:00'
